id,ma_thiet_bi,associated_with,loai_id,hang_san_xuat_id,so_dang_ky,so_giay_dang_kiem,nam_san_xuat,nam_su_dung,so_khung,so_may,dv_so_huu_id,dv_quan_ly_id,dv_thue_id,khu_vuc_id,model_id,ghi_chu,tag_1,last_modified_by_user_id
619,NB255,NB255,23,34,,Không đăng ký,2012,2012,,,6,6,1000,1,1000,,,
620,NB256,NB256,23,34,,Không đăng ký,2012,2012,,,6,6,1000,1,1000,,,
621,NB257,NB257,23,34,,Không đăng ký,2012,2012,,,6,6,1000,1,1000,,,
622,NB258,NB258,23,34,,Không đăng ký,2012,2012,,,6,6,1000,1,1000,,,
623,NB263,NB263,23,34,,,2013,2013,,,10,1,1000,1,1000,,,
624,NB264,NB264,23,34,,,2013,2013,,,10,1,1000,1,1000,,,
625,NB265,NB265,23,34,,,2013,2013,,,10,1,1000,1,1000,,,
626,NB266,NB266,23,34,,,2013,2013,,,10,1,1000,1,1000,,,
627,NB267,NB267,23,34,,,2013,2013,,,10,1,1000,1,1000,,,
628,NB268,NB268,23,34,,,2013,2013,,,10,1,1000,1,1000,,,
629,NB269,NB269,23,34,,,2013,2013,,,10,1,1000,1,1000,,,
630,NB270,NB270,23,34,,,2013,2013,,,10,1,1000,1,1000,,,
631,NB271,NB271,23,34,,,2013,2013,,,10,1,1000,1,1000,,,
632,NB272,NB272,23,34,,,2013,2013,,,10,1,1000,1,1000,,,
633,SM39,LB12,24,25,43681,50KT-0061,2009,2010,9182643,41617,2,10,1000,5,1000,,,
634,SM40,LB14,24,25,43682,50KT-0062,2009,2010,9182642,41618,2,10,1000,5,1000,,,
635,SM41,LB15,24,25,43683,50KT-0063,2009,2010,9182644,41619,2,10,1000,5,1000,,,
636,SM42,LB16,24,25,43684,50KT-0064,2009,2010,9182650,41616,2,10,1000,5,1000,,,
637,SM43,LB17,24,25,43685,50KT-0065,2009,2010,9182451,41615,2,10,1000,5,1000,,,
638,SM44,LB18,24,25,70339,50KT-000.01,2009,2010,82449,41612,2,10,1000,5,1000,,,
639,SM45,LB19,24,25,70340,50KT-000.02,2009,2010,82447,41613,2,10,1000,5,1000,,,
640,SM46,LB20,24,25,70341,50KT-000.03,2009,2010,83356,38622,2,10,1000,5,1000,,,
641,SM47,LB21,24,25,70342,50KT-000.04,2009,2010,83358,38623,2,10,1000,5,1000,,,
642,SM48,LB22,24,25,,50KT-000.05,2009,2010,82448,41614,2,10,1000,5,1000,,,
