id,ma_thiet_bi,associated_with,loai_id,hang_san_xuat_id,so_dang_ky,so_giay_dang_kiem,nam_san_xuat,nam_su_dung,so_khung,so_may,dv_so_huu_id,dv_quan_ly_id,dv_thue_id,khu_vuc_id,model_id,ghi_chu,tag_1,last_modified_by_user_id,created_at,updated_at
66,VTH-028,Q03_CM,49,2,KOCK03,19MT-2629,2009,2009,SC400K,,11,12,1000,3,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
67,VTH-029,STS01,49,3,STS01,,0,0,,,12,12,1000,3,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
68,VTH-030,STS02,49,3,STS02,,0,0,,,12,12,1000,3,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
69,VTH-031,STS03,49,3,STS03,,0,0,,,12,12,1000,3,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
70,VTH-032,STS04,49,3,STS04,,0,0,,,12,12,1000,3,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
71,VTH-033,STS05,49,3,STS05,,0,0,,,12,12,1000,3,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
72,VTH-034,STS06,49,3,STS06,,0,0,,,12,12,1000,3,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
73,VTH-035,QIHI01,49,4,QCIHI01,,2013,2013,,,32,32,1000,3,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
74,VTH-036,QIHI02,49,4,QCIHI02,,2013,2013,,,32,32,1000,3,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
75,VTH-037,QIHI03,49,4,QCIHI03,,2013,2013,,,32,32,1000,3,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
76,VTH-038,QIHI04,49,4,QCIHI04,,2013,2013,,,32,32,1000,3,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
77,LBH01_SD,LBH01_SD,5,6,01-TC,,2000,2000,162.068,,2,7,1000,8,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
78,LBH02_TC,LBH02_TC,5,6,02-TC,19MT-781,2000,2000,126.066,,2,3,1000,10,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
79,LBH03_TC,LBH03_TC,6,6,03-TC,19MT-1496,2000,2000,162.14,,2,7,1000,19,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
80,LBH04_TC,LBH04_TC,5,6,04-TC,19MT-1495,2000,2000,162.139,,2,3,1000,2,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
81,LBH04_CL,LBH04_CL,5,6,04-CL,19MT-2436,2000,2000,165.016,,3,3,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
82,LBH05_CL,LBH05_CL,5,6,05-CL,19MT-782,2000,2000,126.067,,3,3,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
83,LBH01_NT,LBH01_NT,5,6,01-NT,19MT-1501,2000,2000,162.138,,3,3,1000,10,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
84,LBH06_CL,LBH06_CL,5,6,LB06,,2009,2010,165.017,,4,3,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
85,LBH01_CAO,LBH01_CAO,5,6,LB01CM,19MT-1495,2000,2000,162.141,,2,7,1000,9,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
86,HP01,HP01,5,6,HP01,,2014,2014,,,2,17,1000,12,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
87,LBCM01,LBCM01,5,6,LBCM01,,2014,2014,,,11,11,1000,3,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
88,LBH01-HP,LBH01-HP,5,6,LB02CM,19MT-2436,2010,2010,162.069,,2,3,1000,6,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
89,LBHR01,LBHR01,6,6,,19MT-1517,2002,2002,14019238,,2,8,1000,5,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
90,LBHR02,LBHR02,6,6,,19MT-1516,2002,2002,14019239,,2,16,1000,17,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
91,LBR-189,LBR-189,6,6,,,0,0,,,8,8,1000,5,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
92,LBR,LBR,6,6,,,0,0,,,3,3,1000,6,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
93,LBR,LBR,6,6,,,0,0,,,9,9,1000,6,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
